b,dgp_num,N,T0,twfe,parallel_trends,ar_error_term,instrument_noise,estimator,rel_year,estimate,std.error,ci_lower,ci_upper,selected_p,true_te
1,1,300,4,TRUE,TRUE,FALSE,1,Difference-in-means,0,0.9781852622699192,0.17078327721901249,0.6434500389206548,1.3129204856191836,NA,1
1,1,300,4,TRUE,TRUE,FALSE,1,TWFE,0,0.9515056841553736,0.13015581983503147,0.6964002772787121,1.2066110910320351,NA,1
1,1,300,4,TRUE,TRUE,FALSE,1,TWFE with $\bm{w}_i' \bm{\beta}_t$,0,0.9630765862372044,0.12868822423899995,0.7108476667287644,1.215305505745644,NA,1
1,1,300,4,TRUE,TRUE,FALSE,1,Augmented Synthetic Control,0,1.0482198971457866,0.09533480227887405,0.9302776396088472,1.2350761096123797,NA,1
1,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ known),0,0.8684584566841533,0.1477913235199952,0.5787927853574555,1.1581241280108512,2,1
1,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ estimated),0,0.8949225743471404,0.14677799403027805,0.6072429923247604,1.1826021563695204,0,1
1,1,300,4,TRUE,TRUE,FALSE,1,Factor Imputation ($\bm{F}$ known),0,0.9951185986133396,0.09529784144767942,0.808334829375888,1.1819023678507912,NA,1
1,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ known),0,0.9759047638484246,0.15410998398843553,0.673849195231091,1.2779603324657582,2,1
1,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ estimated),0,0.9759047638484246,0.15410998398843553,0.673849195231091,1.2779603324657582,2,1
2,1,300,4,TRUE,TRUE,FALSE,1,Difference-in-means,0,0.9911720737453084,0.16827678954279549,0.6613495662414293,1.3209945812491874,NA,1
2,1,300,4,TRUE,TRUE,FALSE,1,TWFE,0,1.1312753283661543,0.12179190634986452,0.89256319192042,1.369987464811889,NA,1
2,1,300,4,TRUE,TRUE,FALSE,1,TWFE with $\bm{w}_i' \bm{\beta}_t$,0,1.1256690061909975,0.12151792403417316,0.8874938750840181,1.3638441372979768,NA,1
2,1,300,4,TRUE,TRUE,FALSE,1,Augmented Synthetic Control,0,1.158340891537672,0.08730362934995188,0.9470084344136016,1.3294560050635778,NA,1
2,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ known),0,1.1464185334355097,0.1563720540909487,0.8399349392287011,1.4529021276423184,2,1
2,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ estimated),0,0.8262020128638505,0.15090115437765417,0.5304411850581296,1.1219628406695714,0,1
2,1,300,4,TRUE,TRUE,FALSE,1,Factor Imputation ($\bm{F}$ known),0,1.077924281700193,0.09332968155604686,0.8949981058503412,1.260850457550045,NA,1
2,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ known),0,1.0264059881471277,0.1498165491433378,0.7327655518261853,1.3200464244680696,2,1
2,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ estimated),0,1.0264059881471277,0.1498165491433378,0.7327655518261853,1.3200464244680696,2,1
3,1,300,4,TRUE,TRUE,FALSE,1,Difference-in-means,0,1.346982519796282,0.15973738475867752,1.0338972456692743,1.66006779392329,NA,1
3,1,300,4,TRUE,TRUE,FALSE,1,TWFE,0,1.3347807584492315,0.13514272113348835,1.0699010250275944,1.5996604918708686,NA,1
3,1,300,4,TRUE,TRUE,FALSE,1,TWFE with $\bm{w}_i' \bm{\beta}_t$,0,1.3465403320704032,0.135260707155536,1.0814293460455526,1.611651318095254,NA,1
3,1,300,4,TRUE,TRUE,FALSE,1,Augmented Synthetic Control,0,1.4052209577284984,0.20330480127221792,1.179373626941716,1.8036983682220455,NA,1
3,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ known),0,1.28745722091036,0.20648370395980897,0.8827565977547038,1.692157844066016,2,1
3,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ estimated),0,1.0914277011280222,0.1452844540156531,0.8066754037437767,1.3761799985122678,0,1
3,1,300,4,TRUE,TRUE,FALSE,1,Factor Imputation ($\bm{F}$ known),0,1.203375739424224,0.1060465340635847,0.995524532659598,1.41122694618885,NA,1
3,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ known),0,1.313010190839136,0.1541960353218889,1.0107859616082338,1.6152344200700384,2,1
3,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ estimated),0,1.313010190839136,0.1541960353218889,1.0107859616082338,1.6152344200700384,2,1
4,1,300,4,TRUE,TRUE,FALSE,1,Difference-in-means,0,1.4199438747470756,0.16097996557555708,1.104423142218984,1.7354646072751674,NA,1
4,1,300,4,TRUE,TRUE,FALSE,1,TWFE,0,1.1616203480619782,0.1272179885479299,0.9122730905080356,1.4109676056159208,NA,1
4,1,300,4,TRUE,TRUE,FALSE,1,TWFE with $\bm{w}_i' \bm{\beta}_t$,0,1.1580927705060111,0.12799542733385058,0.9072217329316642,1.4089638080803586,NA,1
4,1,300,4,TRUE,TRUE,FALSE,1,Augmented Synthetic Control,0,1.165976792033882,0.10036665787559462,1.04965098648247,1.3626954414700474,NA,1
4,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ known),0,1.3214493748641036,0.19850171551069895,0.932393161593718,1.7105055881344895,2,1
4,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ estimated),0,1.2621288286865204,0.11896375643913892,1.0289641506002132,1.4952935067728277,0,1
4,1,300,4,TRUE,TRUE,FALSE,1,Factor Imputation ($\bm{F}$ known),0,1.1119207605552437,0.08385311783123238,0.9475686496060284,1.2762728715044591,NA,1
4,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ known),0,1.069663401844792,0.13488728686768914,0.8052843195841213,1.3340424841054626,2,1
4,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ estimated),0,1.069663401844792,0.13488728686768914,0.8052843195841213,1.3340424841054626,2,1
5,1,300,4,TRUE,TRUE,FALSE,1,Difference-in-means,0,1.138664371338426,0.16438754958534774,0.8164647741511444,1.4608639685257074,NA,1
5,1,300,4,TRUE,TRUE,FALSE,1,TWFE,0,1.0156402264716966,0.12622777456132797,0.7682337883314938,1.2630466646118994,NA,1
5,1,300,4,TRUE,TRUE,FALSE,1,TWFE with $\bm{w}_i' \bm{\beta}_t$,0,1.0159186896146672,0.12645385110036086,0.7680691414579599,1.2637682377713746,NA,1
5,1,300,4,TRUE,TRUE,FALSE,1,Augmented Synthetic Control,0,1.0253080254498663,0.06366501336447658,0.7577086230493703,1.1500914516442406,NA,1
5,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ known),0,0.9878736041928168,0.15428009274299564,0.6854901788850459,1.2902570295005873,2,1
5,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ estimated),0,0.8874565548347385,0.13801300948999354,0.6169560268363665,1.1579570828331105,0,1
5,1,300,4,TRUE,TRUE,FALSE,1,Factor Imputation ($\bm{F}$ known),0,0.8413833808046749,0.089720024446198,0.6655321328901268,1.017234628719223,NA,1
5,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ known),0,0.8752012092129154,0.11639569288564389,0.6470656511570534,1.1033367672687775,2,1
5,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ estimated),0,0.8752012092129154,0.11639569288564389,0.6470656511570534,1.1033367672687775,2,1
6,1,300,4,TRUE,TRUE,FALSE,1,Difference-in-means,0,1.0405107440619483,0.15326563893426315,0.7401100917507926,1.340911396373104,NA,1
6,1,300,4,TRUE,TRUE,FALSE,1,TWFE,0,0.9311737044219498,0.12527673757114238,0.6856312987825107,1.1767161100613888,NA,1
6,1,300,4,TRUE,TRUE,FALSE,1,TWFE with $\bm{w}_i' \bm{\beta}_t$,0,0.9224285684076232,0.12463396795135864,0.6781459912229602,1.166711145592286,NA,1
6,1,300,4,TRUE,TRUE,FALSE,1,Augmented Synthetic Control,0,0.8691345300748838,0.18438014046631723,0.74329239654937,1.2305196053888656,NA,1
6,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ known),0,1.018622151544972,0.1273563796844616,0.7690082341620188,1.2682360689279253,2,1
6,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ estimated),0,0.975739525074003,0.14859202586241357,0.6845045059938282,1.2669745441541778,0,1
6,1,300,4,TRUE,TRUE,FALSE,1,Factor Imputation ($\bm{F}$ known),0,0.9795267742492776,0.0960200516163483,0.791327473081235,1.1677260754173202,NA,1
6,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ known),0,0.9225236499137868,0.13055209259867054,0.6666415484203927,1.178405751407181,2,1
6,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ estimated),0,0.9225236499137868,0.13055209259867054,0.6666415484203927,1.178405751407181,2,1
7,1,300,4,TRUE,TRUE,FALSE,1,Difference-in-means,0,0.8624349193903921,0.1612580569464871,0.5463691277752774,1.1785007110055068,NA,1
7,1,300,4,TRUE,TRUE,FALSE,1,TWFE,0,0.6598128477902045,0.1319429430229229,0.4012046794652757,0.9184210161151334,NA,1
7,1,300,4,TRUE,TRUE,FALSE,1,TWFE with $\bm{w}_i' \bm{\beta}_t$,0,0.6614534120981942,0.13206739925415212,0.402601309560056,0.9203055146363324,NA,1
7,1,300,4,TRUE,TRUE,FALSE,1,Augmented Synthetic Control,0,0.939036343976522,0.07440339070550489,0.6976886929227408,1.0848669897593115,NA,1
7,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ known),0,0.5325593046844671,0.29344881094519243,-0.04258979607421309,1.1077084054431472,2,1
7,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ estimated),0,0.8219011816796364,0.145451094803309,0.5368222743532299,1.106980089006043,0,1
7,1,300,4,TRUE,TRUE,FALSE,1,Factor Imputation ($\bm{F}$ known),0,0.7310285264250923,0.10459244497618334,0.526027334271773,0.9360297185784116,NA,1
7,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ known),0,0.6168532420912664,0.1378982388611865,0.34657269392334084,0.8871337902591918,2,1
7,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ estimated),0,0.6168532420912664,0.1378982388611865,0.34657269392334084,0.8871337902591918,2,1
8,1,300,4,TRUE,TRUE,FALSE,1,Difference-in-means,0,0.7820003006858742,0.15972440205558522,0.4689404726569272,1.0950601287148212,NA,1
8,1,300,4,TRUE,TRUE,FALSE,1,TWFE,0,1.0976623832718404,0.1322228408058396,0.8385056152923949,1.356819151251286,NA,1
8,1,300,4,TRUE,TRUE,FALSE,1,TWFE with $\bm{w}_i' \bm{\beta}_t$,0,1.1077436129614322,0.13163812492317917,0.849732888112001,1.3657543378108634,NA,1
8,1,300,4,TRUE,TRUE,FALSE,1,Augmented Synthetic Control,0,1.0197597831261684,0.06902573287258869,0.6635791381744899,1.1550502195564425,NA,1
8,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ known),0,0.8138727803444663,0.19108403446918704,0.43935495476424946,1.1883906059246832,2,1
8,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ estimated),0,0.6027288167419348,0.1625374202073283,0.28416132699551855,0.921296306488351,0,1
8,1,300,4,TRUE,TRUE,FALSE,1,Factor Imputation ($\bm{F}$ known),0,1.0137607483128743,0.10863215547955632,0.8008417235729441,1.226679773052805,NA,1
8,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ known),0,1.0201739734050856,0.14450181071128396,0.736950424410969,1.3033975223992025,2,1
8,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ estimated),0,1.0201739734050856,0.14450181071128396,0.736950424410969,1.3033975223992025,2,1
9,1,300,4,TRUE,TRUE,FALSE,1,Difference-in-means,0,1.0078531230094407,0.1485280164521576,0.7167382107632119,1.2989680352556696,NA,1
9,1,300,4,TRUE,TRUE,FALSE,1,TWFE,0,1.066757791805944,0.1193060262198697,0.8329179804149995,1.3005976031968889,NA,1
