b,dgp_num,T_0,estimator,true_te,rel_year,estimate,std.error,ci_lower,ci_upper,selected_p
1,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.7819942653707574,0.174723113055099,4.439536963782763,5.124451566958752,NA
1,1,4,QLD ($p$ known),1,0,-0.9664123456239314,28.29466622090648,-56.423958138600625,54.491133447352766,2
1,1,4,QLD ($p$ estimated),1,0,24.42917353775109,0.491014512795015,23.46678509267286,25.39156198282932,0
2,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.834781961707876,0.17853924597850826,4.484845039590001,5.184718883825752,NA
2,1,4,QLD ($p$ known),1,0,0.8192940484326304,2.1970626005963667,-3.486948648736248,5.125536745601509,2
2,1,4,QLD ($p$ estimated),1,0,0.8192940484326304,2.1970626005963667,-3.486948648736248,5.125536745601509,2
3,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.649839196206486,0.16721436527519973,4.322099040267094,4.977579352145877,NA
3,1,4,QLD ($p$ known),1,0,-1.8707730974274712,13.243990530148269,-27.82899453651807,24.087448341663137,2
3,1,4,QLD ($p$ estimated),1,0,24.244907176557614,0.4658471117361241,23.33184683755481,25.15796751556042,0
4,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.815475809653896,0.18140580060472564,4.4599204404686335,5.171031178839159,NA
4,1,4,QLD ($p$ known),1,0,-2.3953065710474237,1.9549418435802,-6.2269925844646155,1.436379442369768,2
4,1,4,QLD ($p$ estimated),1,0,-2.478120245052502,1.281602460380828,-4.9900610673989245,0.03382057729392107,1
5,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.673120637580849,0.17837293660219855,4.32350968184054,5.022731593321159,NA
5,1,4,QLD ($p$ known),1,0,-6.384100464817591,4.75038957967754,-15.69486404098557,2.926663111350388,2
5,1,4,QLD ($p$ estimated),1,0,-6.60485025072972,3.8331342854386814,-14.117793450189536,0.9080929487300952,1
6,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.037723496142248,0.16902469415685645,4.706435095594809,5.3690118966896865,NA
6,1,4,QLD ($p$ known),1,0,1.586916029625296,2.6948746995496986,-3.6950383814921137,6.868870440742706,2
6,1,4,QLD ($p$ estimated),1,0,-0.19189291011389856,1.407727674994671,-2.9510391531034537,2.5672533328756564,1
7,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.592759815509306,0.17351081937634613,4.252678609531668,4.9328410214869445,NA
7,1,4,QLD ($p$ known),1,0,-2.292324949470333,3.215463700247871,-8.59463380195616,4.009983903015494,2
7,1,4,QLD ($p$ estimated),1,0,-0.01145307334153461,1.6139327773182317,-3.1747613168852684,3.1518551702021993,1
8,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.161616985198111,0.18486769693947908,4.799276299196732,5.52395767119949,NA
8,1,4,QLD ($p$ known),1,0,-2.2828693615172804,6.61655128042081,-15.251309871142068,10.685571148107508,2
8,1,4,QLD ($p$ estimated),1,0,26.447089734052565,0.536081961005205,25.396369090482363,27.497810377622766,0
9,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.0339596603659995,0.17078106425427295,4.699228774427625,5.368690546304374,NA
9,1,4,QLD ($p$ known),1,0,4.244371527147226,2.112141918082723,0.10457336770508974,8.384169686589363,2
9,1,4,QLD ($p$ estimated),1,0,3.530160480389533,1.4734953009875285,0.6421096904539767,6.418211270325088,1
