rel_year,estimate,std_error,lower,upper
-22,-0.08163341774752803,0.033488866633472864,-0.14727159634913484,-0.015995239145921214
-21,-0.06523069161901221,0.02337604654152895,-0.11104774284040896,-0.019413640397615464
-20,-0.055619535745812826,0.01653670105985395,-0.08803146982312657,-0.023207601668499084
-19,-0.04926936796642553,0.01478803890920075,-0.078253924228459,-0.020284811704392062
-18,-0.03458051849309379,0.010318524886034651,-0.054804827269721704,-0.014356209716465878
-17,-0.035423627730817066,0.007307789635534122,-0.049746895416463946,-0.021100360045170186
-16,-0.022532764767183546,0.005530961849142197,-0.033373449991502255,-0.011692079542864841
-15,-0.01551087633705517,0.004651299827843354,-0.024627423999628143,-0.006394328674482197
-14,-0.012184985206681207,0.003874507803747415,-0.01977902050202614,-0.004590949911336274
-13,-0.012653120731957722,0.0036239829113158596,-0.019756127238136807,-0.005550114225778637
-12,-0.010653543145414413,0.0030758588904080974,-0.016682226570614283,-0.004624859720214542
-11,-0.00938228935245105,0.0028401262957843967,-0.014948936892188467,-0.0038156418127136323
-10,-0.0053401248180679995,0.002827749677190456,-0.010882514185361293,2.0226454922529433e-4
-9,-0.004142417712535703,0.002626760096517089,-0.009290867501709198,0.001006032076637792
-8,6.304799876956846e-4,0.0024102591380226425,-0.004093627922828694,0.0053545878982200635
-7,0.004768665969530104,0.0023760393334989116,1.1162887587223749e-4,0.00942570306318797
-6,0.004705193168512989,0.0022059614227118414,3.8150877999777993e-4,0.009028877557028199
-5,0.009237195169197457,0.00225598587955978,0.004815462845260288,0.013658927493134625
-4,0.014383502357651711,0.0024993628506786054,0.009484751170321645,0.019282253544981778
-3,0.015231560361454862,0.0027801929709211303,0.009782382138449447,0.020680738584460276
-2,0.016016338130012308,0.003403778993790405,0.009344931302183114,0.022687744957841503
-1,0.01718712994969271,0.004173049360430976,0.009007953203247997,0.02536630669613742
0,0.04336751520023585,0.005541764447159067,0.03250565688380408,0.05422937351666762
1,0.0780714349773863,0.0066568179098134,0.06502407187415205,0.09111879808062057
2,0.07968723765257225,0.007844093514359898,0.06431281436442686,0.09506166094071765
3,0.08302432126718517,0.009298485762806475,0.06479928917208448,0.10124935336228587
4,0.0891996833089453,0.010601159066268583,0.06842141153905888,0.10997795507883172
5,0.10193625963969122,0.011885603825993223,0.0786404761407445,0.12523204313863795
6,0.11145491794958551,0.01325914380892581,0.08546699608409092,0.1374428398150801
7,0.13131983935541428,0.014392773084215217,0.10311000411035245,0.1595296746004761
8,0.14524007440471168,0.015620842956562311,0.11462322220984955,0.1758569265995738
9,0.15160051593886317,0.017443521514193334,0.11741121377104424,0.1857898181066821
10,0.1663582422228763,0.01967158659348525,0.12780193249964522,0.20491455194610736
11,0.1725232846613681,0.023505355809361618,0.12645278727501932,0.21859378204771687
12,0.17544571718973784,0.029682010340726282,0.11726897692191432,0.23362245745756136
13,0.22770739437392573,0.041437176162333146,0.14649052909575278,0.3089242596520987
