rel_year,estimate,std_error,lower,upper
-22,-0.09075691774137404,0.03641562169570099,-0.16213153626494797,-0.01938229921780009
-21,-0.06777553563876643,0.023869996994125186,-0.11456072974725179,-0.020990341530281065
-20,-0.07090681350406117,0.017180333131842737,-0.10458026644247292,-0.0372333605656494
-19,-0.06361832728040297,0.015061263636587588,-0.09313840400811464,-0.03409825055269129
-18,-0.044891279273942826,0.010822254499935537,-0.06610289809381648,-0.023679660454069173
-17,-0.04107532201702177,0.007969143535435895,-0.05669484334647612,-0.025455800687567417
-16,-0.030451146810473256,0.005956988928499496,-0.04212684511033227,-0.018775448510614245
-15,-0.022024746696608342,0.004987409118867966,-0.03180006856958956,-0.012249424823627128
-14,-0.01714248929442009,0.00433522435942384,-0.025639529038890815,-0.008645449549949363
-13,-0.016489741662597687,0.004035388685301011,-0.02439910348578767,-0.008580379839407706
-12,-0.013983404754650472,0.0033802082797488764,-0.02060861298295827,-0.007358196526342674
-11,-0.012325779240344208,0.0030674060457043153,-0.018337895089924665,-0.00631366339076375
-10,-0.007205269143539493,0.003076558041187901,-0.01323532290426778,-0.0011752153828112075
-9,-0.005924465081587935,0.0029148615005599172,-0.011637593622685372,-2.113365404904973e-4
-8,-3.4330593305742686e-4,0.0026795588818669374,-0.005595241341516624,0.00490862947540177
-7,0.00539942224776131,0.0026034674153060273,2.9662611376149624e-4,0.010502218381761123
-6,0.007459110870176411,0.0023436392913145057,0.0028655778591999796,0.012052643881152842
-5,0.01318914076730658,0.0023826068906574543,0.008519231261617969,0.01785905027299519
-4,0.019060572898731462,0.0026425893331740663,0.013881097805710292,0.024240047991752632
-3,0.019657104280105423,0.002956677801304774,0.013862015789548068,0.02545219277066278
-2,0.02089757181890059,0.0035788537284467178,0.013883018511145023,0.027912125126656157
-1,0.0219491075402095,0.004362441682529784,0.013398721842451123,0.030499493237967877
0,0.04646449737826163,0.005293372094584829,0.03608948807287537,0.05683950668364789
1,0.07848744707739165,0.006105554878094235,0.06652055951632695,0.09045433463845635
2,0.07874221377304723,0.006969331711296405,0.06508232361890627,0.09240210392718819
3,0.08016140929823058,0.008097286012417763,0.06429072871389177,0.0960320898825694
4,0.0853354003656262,0.008843086585892739,0.06800295065727643,0.10266785007397597
5,0.0968644841826715,0.009927179956733293,0.07740721146747426,0.11632175689786875
6,0.10871482168861132,0.01051994857654127,0.08809572247859043,0.12933392089863222
7,0.12579364622790737,0.01161778428504212,0.10302278902922482,0.14856450342658992
8,0.13710168884822188,0.012447581016566952,0.11270443005575065,0.1614989476406931
9,0.13894722209487267,0.01406117340007549,0.11138732223072471,0.16650712195902062
10,0.15445721935311515,0.01737575624719731,0.12040073710860844,0.18851370159762187
11,0.15700015747423313,0.022052024219339095,0.1137781900043285,0.20022212494413777
12,0.15570644880941134,0.028171466940325005,0.10049037360637433,0.21092252401244835
13,0.18829067201615673,0.04084497030382549,0.10823453022065878,0.2683468138116547
