rel_year,estimate,std_error,upper,lower
-22,-0.0904801877384805,0.0389315660207575,-0.0141303888343836,-0.170433565472232
-21,-0.0674316229309497,0.0246836601180023,-0.017134674526084,-0.114776335401308
-20,-0.0713224080786476,0.0176651717365749,-0.0384547831406647,-0.104009278113843
-19,-0.0635662398331527,0.0144463975810932,-0.0359141336172079,-0.0921272171043887
-18,-0.0454460723240595,0.0107771803538409,-0.0252480764025997,-0.0675485031825195
-17,-0.0412411108336622,0.00776117042283419,-0.0264444257607427,-0.0571869553514125
-16,-0.030339994778621,0.00571786115211639,-0.0189967849379074,-0.0414843934638879
-15,-0.0220175445115314,0.00474179390401752,-0.0130640531920704,-0.0304872290142243
-14,-0.0170249905528298,0.0041676693783143,-0.00918427431679822,-0.0263411221807614
-13,-0.016173406236891,0.00405520341569298,-0.00827727334672353,-0.0243701412692322
-12,-0.0136295604012202,0.0032793920838737,-0.00741807859189126,-0.0202499337688341
-11,-0.0117957292390381,0.00301836771583106,-0.00560576872991864,-0.0173671567867897
-10,-0.00662007652894184,0.00308951326322369,-0.00038234486638392,-0.0124553458849067
-9,-0.00519383163781338,0.00293724250079937,0.0008453140718794,-0.0103706091323003
-8,0.00045335257322976,0.00260644239700739,0.00552661879347795,-0.00418312556126387
-7,0.00581203991216102,0.0025639579791051,0.0107874438150377,0.00090616242222053
-6,0.00765413042757862,0.00225770186179624,0.0120859778858796,0.00338270794316163
-5,0.0130187621106394,0.00238474825313446,0.0177592837598785,0.00839143168284715
-4,0.0185351223469797,0.00276904091327969,0.0236868277506704,0.0134401913578027
-3,0.0190595610804649,0.0031257295432133,0.0249670745741775,0.0129373271727486
-2,0.0201986602571385,0.00385994698858819,0.0273691299703154,0.0124478777425668
-1,0.0213425821117528,0.00458342051193695,0.0305663966009853,0.012822541713318
0,0.0457448387148334,0.00575419970873393,0.0573892121565795,0.0347574459984561
1,0.0776351961905205,0.00669570329711866,0.0909572668425167,0.064693627947601
2,0.0779983327358208,0.00759193022477131,0.0929888487705728,0.0636452665976575
3,0.0795728096062128,0.00889908031599136,0.0966884980929895,0.0621713746961286
4,0.0850685347206589,0.0100147775781211,0.104726630642083,0.0657107006231313
5,0.0965825493991585,0.0111165292725669,0.117271607206736,0.0744536200599484
6,0.108653170811074,0.0121813531099329,0.132610858250031,0.0838355771528338
7,0.125972253572496,0.0133441672772283,0.152546067110227,0.0979479665858715
8,0.137223333427408,0.0143988830599937,0.16660437861582,0.108586886282992
9,0.138978035200522,0.0162599216536223,0.170116923173917,0.107269461290577
10,0.154361059034534,0.0192953666138849,0.191630230172901,0.116835178929024
11,0.156797106234954,0.0233083126055553,0.203895072595111,0.111600568946703
12,0.155391809337029,0.029470429580497,0.214730689562706,0.0972456335286601
13,0.187763620462502,0.0432293011234278,0.272124674125819,0.102956450775341
