rel_year,estimate,std_error,lower,upper
-22,-0.09166054074601876,0.05655447239256465,-0.20250730663544547,0.019186225143407953
-21,-0.07027673170982376,0.043432612172977246,-0.15540465156885916,0.01485118814921163
-20,-0.04401358910422596,0.03164422007567963,-0.10603626045255804,0.018009082244106113
-19,-0.052072158339208585,0.02585263597492208,-0.10274332485005586,-0.0014009918283613074
-18,-0.03940600286960912,0.018981677993434948,-0.07661009173674162,-0.0022019140024766293
-17,-0.04019386418437647,0.016192067506660343,-0.07193031649743074,-0.008457411871322193
-16,-0.045370843721246404,0.01127517629848302,-0.06747018926627313,-0.023271498176219686
-15,-0.04329628063650752,0.009583376524735333,-0.06207969862498877,-0.024512862648026268
-14,-0.03834435066776509,0.007846497056476732,-0.05372348489845949,-0.022965216437070696
-13,-0.027170075246513166,0.0072355577073546715,-0.04135176835292832,-0.01298838214009801
-12,-0.011037052541026968,0.0065845819920338205,-0.023942833245413256,0.0018687281633593192
-11,-0.005207584621680601,0.00578861657797027,-0.016553273114502328,0.006138103871141127
-10,-0.007114889655925398,0.005911227151212623,-0.01870089487230214,0.004471115560451343
-9,-0.008727167530519617,0.005322298511212121,-0.019158872612495374,0.0017045375514561402
-8,-0.008020448806353005,0.004953100167977147,-0.017728525135588213,0.0016876275228822034
-7,0.001143250874932851,0.004774933787671797,-0.008215619348903871,0.010502121098769572
-6,0.010257769549002626,0.00468706612516842,0.0010711199436725227,0.01944441915433273
-5,0.009998314185738396,0.004624772148390852,9.337607748923279e-4,0.019062867596584467
-4,0.02022402918087566,0.004907934671280272,0.010604477225166326,0.029843581136584994
-3,0.02635917518092428,0.005636455582358127,0.015311722239502352,0.037406628122346214
-2,0.030297209996822855,0.006691516546981376,0.017181837564739358,0.04341258242890635
-1,0.04009191187927267,0.008249385444690576,0.02392311640767914,0.0562607073508662
0,0.05049920328572062,0.009978626086278586,0.030941096156614594,0.07005731041482664
1,0.04325756680827714,0.01126395472320853,0.02118021555078842,0.06533491806576586
2,0.04347802990442493,0.012758262564271523,0.018471835278452746,0.06848422453039713
3,0.043340142715963675,0.014718356001152622,0.014492164953704537,0.07218812047822282
4,0.04922556342331471,0.01601261885819248,0.017840830461257444,0.08061029638537198
5,0.058602553187115075,0.018113055565001347,0.023100964279712435,0.09410414209451771
6,0.07188953451935992,0.0192170076118955,0.03422419960004474,0.1095548694386751
7,0.06811434345455991,0.02121465307861605,0.026533623420472455,0.10969506348864737
8,0.06626099006779344,0.02285093788126599,0.021473151820512106,0.11104882831507479
9,0.060825066491158465,0.024922943421264013,0.011976097385481,0.10967403559683593
10,0.09038045831642451,0.029860270949462038,0.03185432725547892,0.1489065893773701
11,0.08117049708792741,0.03547398042924822,0.011641495446600897,0.15069949872925392
12,0.05731987258322032,0.042387588030950434,-0.025759799957442535,0.14039954512388317
13,0.08035415645651531,0.053569406060762007,-0.024641879422578228,0.18535019233560884
