GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,SEA,UATYPE,PLACDESC,CBD,INDSUBR,LONGITUD,LATITUDE,LANDAREA,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,C7L001,C7M001,C7M002,C7M003,C8Y001,C9B001,C9B002,C9C001,C9C002,C9D001,C9D002,C9D003,C9D004,C9D005,C9D006,C9D007,C9D008,C9D009,C9D010,C9D011,C9D012,C9D013,C9D014,C9D015,C8N001,C8N002,C8N003,C8N004,C8N005,C8N006,C8N007,C8N008,C8N009,C8N010,C8N011,C8N012,C8N013,C8N014,C8O001
"G0100010","1980","A","3","6","Alabama","01","5240","Autauga","001",,,,,,,,,,,,,"05",,,,,,,,"AUTAUGA COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",32259,19229,0,13030,10963,10197,751,15848,16411,24814,7225,58,0,0,41,3,13,7,8,6,4,0,0,80,338,318,103,88,33,76,41,125,171,123,91,27,0,198,122
"G0100030","1980","A","3","6","Alabama","01","5160","Baldwin","003",,,,,,,,,,,,,"08",,,,,,,,"BALDWIN COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",78556,0,29054,49502,33277,26775,2961,38359,40197,65840,12048,432,0,0,13,4,9,20,13,30,7,0,0,140,433,787,374,413,96,310,218,332,421,334,224,33,10,940,139
"G0100050","1980","A","3","6","Alabama","01",,"Barbour","005",,,,,,,,,,,,,"09",,,,,,,,"BARBOUR COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0",24756,0,12097,12659,9325,8375,898,11668,13088,13693,11003,30,0,0,9,7,2,2,3,0,2,0,0,5,683,484,130,104,27,53,45,72,50,9,17,2,0,284,66
"G0100070","1980","A","3","6","Alabama","01",,"Bibb","007",,,,,,,,,,,,,"05",,,,,,,,"BIBB COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0",15723,0,5366,10357,5759,5167,552,7628,8095,12029,3675,2,0,0,0,0,0,1,7,0,3,0,0,6,309,200,109,73,7,11,8,9,19,5,0,2,3,214,67
"G0100090","1980","A","3","6","Alabama","01",,"Blount","009",,,,,,,,,,,,,"02",,,,,,,,"BLOUNT COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0",36459,0,4824,31635,13846,12682,1041,18043,18416,35761,598,56,0,0,1,0,0,11,5,0,1,0,0,26,318,512,191,166,30,69,11,37,50,9,5,1,2,336,87
"G0100110","1980","A","3","6","Alabama","01",,"Bullock","011",,,,,,,,,,,,,"06",,,,,,,,"BULLOCK COUNTY","0","0","0","1","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0",10596,0,4431,6165,3895,3455,437,4880,5716,3427,7160,1,0,0,1,1,0,0,0,0,2,0,0,4,345,209,22,14,3,7,0,1,3,0,3,1,1,164,49
"G0100130","1980","A","3","6","Alabama","01",,"Butler","013",,,,,,,,,,,,,"09",,,,,,,,"BUTLER COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0",21680,0,7807,13873,8117,7471,636,10097,11583,13260,8397,5,0,0,3,0,4,3,2,0,0,1,0,5,706,480,91,117,10,43,13,25,13,8,6,1,0,273,55
"G0100150","1980","A","3","6","Alabama","01","0450","Calhoun","015",,,,,,,,,,,,,"03",,,,,,,,"CALHOUN COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",119761,75180,15279,29302,42582,39651,2815,58681,61080,97313,21074,215,5,1,57,37,57,192,28,30,44,37,26,645,1279,2925,1092,1132,323,664,367,854,1141,380,174,18,9,951,118
"G0100170","1980","A","3","6","Alabama","01",,"Chambers","017",,,,,,,,,,,,,"04",,,,,,,,"CHAMBERS COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",39191,0,20060,19131,14428,13520,888,18469,20722,25222,13894,14,2,0,2,0,9,0,9,0,3,0,0,36,657,1042,213,189,93,80,56,91,104,15,6,0,0,403,80
"G0100190","1980","A","3","6","Alabama","01",,"Cherokee","019",,,,,,,,,,,,,"03",,,,,,,,"CHEROKEE COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0",18760,0,0,18760,8197,6505,859,9247,9513,17185,1550,13,2,0,3,0,0,1,4,0,0,0,0,2,275,306,108,47,3,23,1,8,15,2,1,1,0,221,70
"G0100210","1980","A","3","6","Alabama","01",,"Chilton","021",,,,,,,,,,,,,"05",,,,,,,,"CHILTON COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1",30612,0,5832,24780,12869,10742,1930,14850,15762,26942,3633,9,0,0,6,2,6,1,4,1,0,0,0,8,423,536,124,83,16,64,38,45,20,5,6,0,0,296,74
"G0100230","1980","A","3","6","Alabama","01",,"Choctaw","023",,,,,,,,,,,,,"07",,,,,,,,"CHOCTAW COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0",16839,0,0,16839,6084,5405,586,8112,8727,9490,7319,7,0,0,2,1,0,4,3,0,0,0,0,13,232,135,41,23,1,14,1,6,14,1,1,1,0,237,51
