GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,ZIPA,SEA,UATYPE,PLACDESC,CBD,INDSUBR,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,SUPFLG22,SUPFLG23,SUPFLG24,SUPFLG25,SUPFLG26,SUPFLG27,DHM001,DHM002,DHM003,DHM004,DHM005,DHX001,DHX002,DHX003,DHX004,DHX005,DHX006,DHX007,DHX008,DIA001,DIA002,DIA003,DIA004,DIA005,DIA006,DIA007,DIA008,DIA009,DIA010,DIA011,DIA012,DIA013,DIA014,DIA015,DIB001,DIB002,DIB003,DIB004,DIB005,DIB006,DIB007,DIB008,DIB009,DIB010,DIB011,DIB012,DIB013,DID001,DID002,DID003,DID004,DID005,DID006,DID007,DID008,DID009,DID010,DID011,DID012,DID013,DID014,DID015,DID016,DID017,DI8001,DI8002
"G0100010","1980","A","3","6","Alabama","01","5240","Autauga","001",,,,,,,,,,,,"05",,,,,"AUTAUGA",,,,,"1",,,,,,,"1","1",,,,,,"1",,,,,,,,,4079,2995,6145,2104,2117,333,7575,473,2584,26,5016,434,6458,691,1329,1603,1524,335,358,572,1781,619,279,376,549,802,492,1281,1106,1201,342,1082,2157,153,232,950,470,2011,1562,594,731,654,1016,739,686,797,710,834,794,822,500,553,556,691,374,287,142,66,26770,5337
"G0100030","1980","A","3","6","Alabama","01","5160","Baldwin","003",,,,,,,,,,,,"08",,,,,"BALDWIN",,,,,,,,,,,,"1","1",,,,,,"1",,,,,,"1",,,9822,8303,15380,6602,5498,100,18374,1039,7993,10,11433,1414,17243,1829,2903,3453,2679,1392,979,1441,4951,1597,967,1340,1733,1983,960,1600,2887,2926,731,3319,4032,214,393,2676,1613,4733,2919,1831,1533,1361,2772,2542,2468,2527,1980,1975,1913,1805,1321,1287,970,1441,854,803,473,196,65110,12616
"G0100050","1980","A","3","6","Alabama","01",,"Barbour","005",,,,,,,,,,,,"09",,,,,"BARBOUR",,,,"1",,,,,,,,,,,,,"1",,"1",,,,,"1","1",,,5230,2529,3671,1362,1300,45,4899,380,2726,0,3743,388,5650,499,560,1551,1418,211,220,293,1186,280,146,489,448,718,246,377,575,792,277,754,869,204,81,846,543,1038,1547,513,603,1008,1353,900,884,780,630,554,411,437,240,262,173,245,116,182,75,76,16974,7559
"G0100070","1980","A","3","6","Alabama","01",,"Bibb","007",,,,,,,,,,,,"05",,,,,"BIBB",,,,"1","1",,,,,,"1","1",,,,,"1",,"1",,,,"1","1",,,,3086,2168,2611,536,433,0,3429,317,1639,0,1948,225,3725,409,329,775,1506,196,86,94,689,118,117,153,273,336,93,203,295,311,55,323,573,59,46,425,206,821,1085,569,609,436,690,506,500,479,426,466,300,308,270,196,140,175,124,69,35,25,12224,3296
"G0100090","1980","A","3","6","Alabama","01",,"Blount","009",,,,,,,,,,,,"02",,,,,"BLOUNT",,,,,"1",,,,,,,"1","1",,,,,,"1",,,,,,,,,6967,4699,7011,1819,1144,18,8695,700,3786,0,5018,438,8332,1209,1288,1804,2138,784,367,640,1949,490,514,349,588,836,303,454,749,928,275,1156,1626,77,172,1000,747,2749,2060,1130,1044,811,1699,1327,1143,1301,1053,1040,802,783,608,576,359,491,312,227,140,22,29717,6527
"G0100110","1980","A","3","6","Alabama","01",,"Bullock","011",,,,,,,,,,,,"06",,,,,"BULLOCK",,"1",,,"1",,,,,,,,,,,,,,,,,,,,,"1",,2257,1216,1324,574,516,15,1778,105,1460,0,1486,238,2452,377,119,495,324,157,158,92,450,132,59,154,133,277,80,257,288,255,31,292,341,80,53,339,244,376,449,223,293,469,624,561,307,335,269,157,128,114,114,86,82,84,35,32,57,27,6820,3745
"G0100130","1980","A","3","6","Alabama","01",,"Butler","013",,,,,,,,,,,,"09",,,,,"BUTLER",,,,"1","1",,,,,,,,,,,,"1","1",,,,,"1","1",,,,4422,2507,3635,1016,1029,10,4344,301,2462,8,3347,284,4878,355,488,1318,1469,220,144,184,1143,292,201,366,452,534,212,313,441,664,182,599,814,160,88,756,432,1095,1441,559,460,611,1289,1012,749,793,572,609,391,392,207,172,145,152,82,98,120,59,15605,5818
"G0100150","1980","A","3","6","Alabama","01","0450","Calhoun","015",,,,,,,,,,,,"03",,,,,"CALHOUN",,,,,,,,,,,,,,,,,,,,,,,,,,,,15595,12673,21411,8449,7213,6096,24441,1929,11246,1833,18108,2355,24220,482,2236,5407,5393,1200,1059,1871,6900,1707,1223,1738,2835,3921,1345,5232,3790,4292,1021,4106,6021,532,635,4616,357,6338,5976,2231,2634,2515,4473,4183,3639,3561,3291,3255,2943,2448,1871,2022,1275,1792,1062,879,465,135,93387,18231
"G0100170","1980","A","3","6","Alabama","01",,"Chambers","017",,,,,,,,,,,,"04",,,,,"CHAMBERS",,,,"1","1",,,,,"1",,"1",,,,,,,,,,,"1",,"1",,,7237,5379,6544,2238,1710,22,9020,391,3673,5,6897,934,7861,260,767,7552,1292,306,343,239,1637,349,286,498,650,953,350,435,829,1121,329,1173,2085,154,188,1189,366,2477,4220,722,1064,940,1746,1501,1408,1310,959,1160,869,976,501,564,465,585,235,215,128,43,31938,6931
"G0100190","1980","A","3","6","Alabama","01",,"Cherokee","019",,,,,,,,,,,,"03",,,,,"CHEROKEE",,,,"1","1",,,,,,"1","1",,,,,,"1","1",,,,,,,,,3815,2557,3158,985,712,10,4349,346,2067,0,3044,245,3960,448,418,2800,671,143,310,174,662,255,153,149,324,491,106,289,287,535,151,441,827,23,70,522,415,1214,2124,336,448,439,820,703,760,648,506,560,416,383,301,305,170,208,109,57,58,40,15194,3474
