GISJOIN,YEAR,FSTATUS,REGION,DIVISION,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,URB_AREAA,AIANHHA,SEA,UATYPE,PLACDESC,CBD,AREANAME,SUPFLG01,SUPFPA03,SUPFLG04,SUPFLG05,SUPFLG06,PBSUM00,PBSUM01,PBSUM02,PBSUM03,PBSUM04,PBSUM05,PBSUM06,PBSUM07,PBSUM08,PBSUM09,PBSUM10,PBSUM11,PBSUM12,PBSUM13,PBSUM14,PBSUM15,PBSUM16,PBSUM17,PBSUM18,PBSUM19,PBSUM20,PBSUM21,PBSUM22,PBSUM23,PBSUM24,PBSUM25,PBSUM26,PBSUM27,PBSUM28,PBSUM29,PBSUM30,PBSUM31,PBSUM32,PBSUM33,PBSUM34,PBSUM35,PBSUM36,PBSUM37,PBSUM38,DR1001,DR1002,DR1003,DR1004,DR2001,DR2002,DR2003,DR2004,DR2005,DR2006,DR2007,DR2008,DR2009,DR2010,DR2011,DR2012,DR2013,DR3001,DR3002,DR3003,DR3004,DR3005,DR3006,DR3007,DR3008,DR3009,DR3010,DR3011,DR3012,DR3013,DR3014,DR3015,DR3016
"G0100010","1980","A","3","6","Alabama","01","5240","Autauga","001",,,,,,,"05",,,,"AUTAUGA COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1",8735,2390,801,72,1072,1162,328,1028,2054,135,221,875,439,1949,1458,580,708,612,19,31,1276,1554,1466,655,566,1680,583,107,163,312,38,1756,1254
"G0100030","1980","A","3","6","Alabama","01","5160","Baldwin","003",,,,,,,"08",,,,"BALDWIN COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",20612,4094,2814,237,2768,2776,712,3125,3829,169,347,2466,1500,4459,2716,1700,1400,1225,384,109,2743,3283,2480,2242,1377,4565,1548,530,368,1026,198,4395,1395
"G0100050","1980","A","3","6","Alabama","01",,"Barbour","005",,,,,,,"09",,,,"BARBOUR COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1",5545,1486,880,55,540,766,255,711,809,175,81,733,524,941,1412,447,537,413,15,54,527,1450,1294,411,270,1108,274,61,74,421,27,1265,352
"G0100070","1980","A","3","6","Alabama","01",,"Bibb","007",,,,,,,"05",,,,"BIBB COUNTY",,,,,,"1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","1","1","1","1","1","0","1","1","1","1",3727,731,282,23,265,289,43,305,498,44,46,371,170,760,981,513,554,64,36,265,260,677,1410,239,84,599,99,47,49,132,3,652,188
"G0100090","1980","A","3","6","Alabama","01",,"Blount","009",,,,,,,"02",,,,"BLOUNT COUNTY",,,,,,"1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1",9969,1717,1223,135,736,883,265,1090,1555,77,172,911,724,2636,1972,1080,986,730,42,423,1246,1679,2035,1144,630,1844,463,153,335,293,23,1626,417
"G0100110","1980","A","3","6","Alabama","01",,"Bullock","011",,,,,,,"06",,,,"BULLOCK COUNTY",,,,,,"1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","1","1","1","1","1","0","1","1","1","1",1818,655,238,27,265,215,27,264,297,45,53,233,242,348,388,189,213,345,23,0,112,447,258,247,82,366,123,8,45,85,16,411,183
"G0100130","1980","A","3","6","Alabama","01",,"Butler","013",,,,,,,"09",,,,"BUTLER COUNTY",,,,,,"1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1",5148,1092,616,80,398,643,182,568,765,117,88,689,389,966,1358,538,399,270,39,18,434,1219,1388,334,148,1045,271,42,145,265,37,1158,281
"G0100150","1980","A","3","6","Alabama","01","0450","Calhoun","015",,,,,,,"03",,,,"CALHOUN COUNTY",,,,,,"1","1","1","1","1","0","0","1","1","1","1","1","1","0","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",26905,10849,2235,148,3626,4117,963,3860,5633,465,577,4285,343,6012,5562,2118,2448,339,29,66,2075,5213,5082,2151,1770,6518,1613,506,639,1336,252,7660,5038
"G0100170","1980","A","3","6","Alabama","01",,"Chambers","017",,,,,,,"04",,,,"CHAMBERS COUNTY",,,,,,"1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1",12186,1702,896,46,795,1087,308,1107,1983,132,181,1089,337,2364,3963,680,982,185,22,26,721,7317,1157,602,224,1558,344,121,147,400,52,1846,430
"G0100190","1980","A","3","6","Alabama","01",,"Cherokee","019",,,,,,,"03",,,,"CHEROKEE COUNTY",,,,,,"1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1",5229,1106,667,32,261,495,142,419,791,23,70,498,402,1154,2030,319,446,412,14,10,411,2725,610,443,162,615,251,53,92,148,1,847,274
"G0100210","1980","A","3","6","Alabama","01",,"Chilton","021",,,,,,,"05",,,,"CHILTON COUNTY",,,,,,"1","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","1","1","0","1","1","1","0","1","0","1","1","1","1","1","0","1","1","1","1",7832,1534,991,89,658,758,195,783,1287,81,121,768,452,2329,1421,789,780,354,28,104,1495,938,1948,1071,355,1331,357,110,159,285,12,1452,437
"G0100230","1980","A","3","6","Alabama","01",,"Choctaw","023",,,,,,,"07",,,,"CHOCTAW COUNTY",,,,,,"1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1",3649,832,420,38,199,483,55,433,434,126,54,401,234,738,1067,345,438,85,57,197,240,1474,679,217,108,629,92,16,52,220,0,725,233
"G0100250","1980","A","3","6","Alabama","01",,"Clarke","025",,,,,,,"07",,,,"CLARKE COUNTY",,,,,,"1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","1","0","0","1","1","1","1","1","0","1","1","1","1",6224,1449,740,32,592,760,224,729,1150,134,81,757,297,1268,1274,730,527,90,39,52,815,1885,1269,462,136,1247,410,67,74,308,11,1473,206
"G0100270","1980","A","3","6","Alabama","01",,"Clay","027",,,,,,,"04",,,,"CLAY COUNTY",,,,,,"1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","1","1","1","1","1","0","1","1","1","1",3703,719,457,24,266,277,85,203,513,42,44,290,330,730,1389,315,472,196,1,6,262,1694,786,329,121,526,106,14,41,93,10,546,268
"G0100290","1980","A","3","6","Alabama","01",,"Cleburne","029",,,,,,,"04",,,,"CLEBURNE COUNTY",,,,,,"1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1",3815,751,366,22,184,290,64,193,452,22,28,300,218,778,1543,449,459,161,51,0,392,1650,1034,200,76,370,85,15,65,116,7,495,278
"G0100310","1980","A","3","6","Alabama","01",,"Coffee","031",,,,,,,"09",,,,"COFFEE COUNTY",,,,,,"1","1","1","1","1","0","0","1","1","0","0","1","1","0","0","0","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",9241,3171,1431,93,1095,1660,321,1325,1754,127,114,1141,774,2067,2181,575,834,771,14,33,903,2555,1350,1043,400,1983,584,131,207,419,38,2325,1236
"G0100330","1980","A","3","6","Alabama","01","2650","Colbert","033",,,,,,,"01",,,,"COLBERT COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1",14260,5051,1171,42,1433,1972,585,1766,2932,171,349,1821,417,3593,2907,1188,1468,400,25,140,1344,2208,3956,1406,626,2880,660,313,248,545,134,3330,2431
"G0100350","1980","A","3","6","Alabama","01",,"Conecuh","035",,,,,,,"09",,,,"CONECUH COUNTY",,,,,,"1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","1","1","1","1","1","0","1","1","1","1",3468,795,506,28,261,414,58,357,672,46,66,298,225,612,987,450,354,151,39,30,309,1170,817,402,132,608,115,48,75,143,0,611,180
"G0100370","1980","A","3","6","Alabama","01",,"Coosa","037",,,,,,,"04",,,,"COOSA COUNTY",,,,,,"1","1","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1",3145,617,317,7,232,218,101,184,394,13,33,333,137,563,1276,325,351,36,10,43,276,1586,726,146,110,377,64,38,33,113,0,434,170
"G0100390","1980","A","3","6","Alabama","01",,"Covington","039",,,,,,,"09",,,,"COVINGTON COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1",9640,2052,1339,96,976,1111,269,1034,1846,99,195,1130,826,1924,2370,658,842,743,80,222,769,3242,903,837,750,1754,484,119,220,306,69,2321,539
"G0100410","1980","A","3","6","Alabama","01",,"Crenshaw","041",,,,,,,"09",,,,"CRENSHAW COUNTY",,,,,,"1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1",3353,896,579,44,283,420,87,404,472,129,24,358,533,570,823,384,391,471,5,15,308,936,546,292,266,594,138,17,77,209,20,785,205
"G0100430","1980","A","3","6","Alabama","01",,"Cullman","043",,,,,,,"02",,,,"CULLMAN COUNTY",,,,,,"1","1","1","1","1","0","0","1","0","0","0","0","0","1","0","0","0","0","1","1","1","0","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1",16709,3354,2490,319,1831,1920,561,1907,2382,51,191,1773,1505,3691,3914,1535,1563,1668,17,287,1749,2939,4295,1242,1066,3300,755,285,334,532,100,3578,785
