StoreNbr,StoreName,StoreType,BuildingAddress,BuildingCity,BuildingStateProv,BuildingPostalCode,SizeSqFt,OpenDate,Latitude,Longitude
1,ROGERS AR,Supercenter,2110 W WALNUT ST,ROGERS,AR,72756,201314,7/2/1962,36.33405473,-94.1481616
2,HARRISON AR,Supercenter,161 N. WALMART DRIVE,HARRISON,AR,72601,181701,8/1/1964,36.238821,-93.114328
3,COMMERCE GA,Supercenter,30983 HIGHWAY 441 S,COMMERCE,GA,30529,151980,4/12/1988,34.24541941,-83.45852572
4,SILOAM SPRINGS AR,Supercenter,2901 HIGHWAY 412 E,SILOAM SPRINGS,AR,72761,184435,8/1/1965,36.183359,-94.539153
5,CONWAY AR,Supercenter,1155 HWY 65 NORTH,CONWAY,AR,72032,180161,5/1/1972,35.11069684,-92.43957628
6,YBM,Supercenter,702 SW 8TH ST,BENTONVILLE,AR,72716,0,8/1/1997,36.36435736,-94.21652628
7,NORTH LITTLE ROCK AR,Supercenter,9053 HIGHWAY 107,SHERWOOD,AR,72120,206528,10/1/1967,34.83651552,-92.23172861
8,MORRILTON AR,Supercenter,1621 NORTH BUSINESS 9,MORRILTON,AR,72110,123369,10/1/1967,35.23866,-92.67108
9,SIKESTON MO,Supercenter,1303 S MAIN ST,SIKESTON,MO,63801,205540,3/1/1968,36.89518891,-89.59490894
10,TAHLEQUAH OK,Supercenter,2020 S MUSKOGEE AVE,TAHLEQUAH,OK,74464,182721,7/30/1968,35.89023321,-94.97725736
11,MOUNTAIN HOME AR,Supercenter,65 WAL MART DR,MOUNTAIN HOME,AR,72653,220167,3/1/1968,36.35262,-92.3667
12,CLAREMORE OK,Supercenter,1500 S LYNN RIGGS BLVD,CLAREMORE,OK,74017,173675,7/1/1968,36.29465156,-95.62952271
13,CARTHAGE MO,Supercenter,2705 GRAND AVE,CARTHAGE,MO,64836,152425,11/1/1968,37.14226376,-94.31056587
14,LEBANON MO,Supercenter,1800 S JEFFERSON AVE,LEBANON,MO,65536,179958,4/1/1969,37.65747869,-92.64936983
15,WEST PLAINS MO,Supercenter,1310 PREACHER ROE BLVD,WEST PLAINS,MO,65775,201788,5/6/1969,36.71547776,-91.87369909
16,VAN BUREN AR,Supercenter,2214 FAYETTEVILLE RD,VAN BUREN,AR,72956,188222,4/1/1969,35.46909215,-94.3538303
17,NEOSHO MO,Supercenter,3200 LUSK DR,NEOSHO,MO,64850,180790,5/1/1969,36.863757,-94.373223
18,NEWPORT AR,Supercenter,1211 HIGHWAY 367 N,NEWPORT,AR,72112,68907,11/1/1969,35.61644886,-91.25197013
19,POPLAR BLUFF MO,Supercenter,333 S WESTWOOD BLVD,POPLAR BLUFF,MO,63901,212503,4/3/1990,36.75600463,-90.40810704
20,CLINTON MO,Supercenter,1712 E OHIO ST,CLINTON,MO,64735,151980,10/1/1970,38.36614398,-93.75165801
21,ST ROBERT MO /WAYNESVILLE,Supercenter,185 SAINT ROBERT BLVD,SAINT ROBERT,MO,65584,184435,3/1/1970,37.82633387,-92.14653042
22,PRYOR OK,Supercenter,4901 S MILL ST,PRYOR,OK,74361,183993,10/1/1970,36.29894,-95.310823
23,RUSTON LA,Supercenter,1201 N SERVICE RD E,RUSTON,LA,71270,199026,11/1/1970,32.48418,-92.6682
